GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jacoco-report/test_cui,validation,ValidationUtil,65,21,17,5,13,3,12,5,3,3
jacoco-report/test_cui,validation,FieldChecks,16,0,0,0,4,0,4,0,4,0
